Date,TSLA,"Tesla, Inc.","Tesla,"
2018-05-20,1.36,0.0,0.0
2018-05-21,5.2700000000000005,0.0,0.0
2018-05-22,5.1000000000000005,0.0,0.0
2018-05-23,5.61,0.0,17.64
2018-05-24,4.760000000000001,0.0,0.0
2018-05-25,3.5700000000000003,0.0,0.0
2018-05-26,1.36,0.0,0.0
2018-05-27,0.68,0.0,0.0
2018-05-28,0.8500000000000001,0.0,0.0
2018-05-29,4.42,0.0,17.64
2018-05-30,5.2700000000000005,0.0,0.0
2018-05-31,3.06,0.0,0.0
2018-06-01,8.1,0.0,0.0
2018-06-02,1.7999999999999998,4.0,9.0
2018-06-03,1.7999999999999998,0.0,0.0
2018-06-04,9.54,0.0,0.0
2018-06-05,10.799999999999999,0.0,0.0
2018-06-06,18.0,0.0,15.0
2018-06-07,17.64,0.0,0.0
2018-06-08,11.7,0.0,7.6499999999999995
2018-06-09,2.34,0.0,0.0
2018-06-10,1.98,0.0,0.0
2018-06-11,10.799999999999999,0.0,0.0
2018-06-12,17.64,0.0,0.0
2018-06-13,14.94,0.0,7.05
2018-06-14,13.139999999999999,0.0,0.0
2018-06-15,13.86,0.0,7.8
2018-06-16,3.42,0.0,0.0
2018-06-17,2.6999999999999997,0.0,0.0
2018-06-18,13.86,0.0,0.0
2018-06-19,17.28,0.0,7.5
2018-06-20,11.879999999999999,0.0,7.6499999999999995
2018-06-21,13.68,0.0,0.0
2018-06-22,9.9,0.0,7.8
2018-06-23,3.2399999999999998,0.0,0.0
2018-06-24,1.7999999999999998,0.0,0.0
2018-06-25,9.0,0.0,7.5
2018-06-26,9.54,0.0,0.0
2018-06-27,10.799999999999999,0.0,0.0
2018-06-28,9.9,0.0,0.0
2018-06-29,11.34,0.0,7.8
2018-06-30,3.42,0.0,0.0
2018-07-01,2.66,0.0,21.0
2018-07-02,19.0,0.0,0.0
2018-07-03,13.11,0.0,0.0
2018-07-04,2.85,0.0,0.0
2018-07-05,10.26,0.0,0.0
2018-07-06,9.5,3.36,0.0
2018-07-07,2.85,0.0,20.37
2018-07-08,1.52,0.0,20.16
2018-07-09,10.07,0.0,0.0
2018-07-10,9.88,0.0,0.0
2018-07-11,7.41,0.0,16.59
2018-07-12,6.84,0.0,18.06
2018-07-13,7.6,0.0,0.0
