Date,PFE,"Pfizer, Inc.","Pfizer,"
2019-12-02,1.8,,0.0
2019-12-03,3.0,,0.0
2019-12-04,4.45,,0.0
2019-12-05,2.35,,10.0
2019-12-06,3.6,,0.0
2019-12-07,0.7000000000000001,,0.0
2019-12-08,0.9,,0.0
2019-12-09,1.75,,0.0
2019-12-10,2.2,,0.0
2019-12-11,3.45,,0.0
2019-12-12,2.75,,0.0
2019-12-13,2.7,,0.0
2019-12-14,0.9500000000000001,,0.0
2019-12-15,1.1500000000000001,,0.0
2019-12-16,5.0,,0.0
2019-12-17,4.8500000000000005,,0.0
2019-12-18,3.8000000000000003,,0.0
2019-12-19,2.8000000000000003,,0.0
2019-12-20,3.35,,0.0
2019-12-21,1.2000000000000002,,0.0
2019-12-22,0.5,,0.0
2019-12-23,2.85,,0.0
2019-12-24,3.25,,0.0
2019-12-25,0.5,,0.0
2019-12-26,3.6500000000000004,,0.0
2019-12-27,3.25,,0.0
2019-12-28,1.1500000000000001,,0.0
2019-12-29,1.1,,0.0
2019-12-30,2.9000000000000004,,0.0
2019-12-31,2.6,,0.0
2020-01-01,0.9800000000000001,,0.0
2020-01-02,3.1500000000000004,,22.8
2020-01-03,1.4000000000000001,,0.0
2020-01-04,0.0,,0.0
2020-01-05,0.6300000000000001,,0.0
2020-01-06,1.61,,0.0
2020-01-07,1.8900000000000001,,0.0
2020-01-08,1.33,,0.0
2020-01-09,4.0600000000000005,,0.0
2020-01-10,2.9400000000000004,,0.0
2020-01-11,1.2600000000000002,,0.0
2020-01-12,0.9100000000000001,,0.0
2020-01-13,1.4700000000000002,,0.0
2020-01-14,3.2900000000000005,,18.96
2020-01-15,4.0600000000000005,,20.64
2020-01-16,3.1500000000000004,,0.0
2020-01-17,1.61,,21.84
2020-01-18,1.54,,0.0
2020-01-19,0.6300000000000001,,24.0
